idno	author-short	title-short	identifier	author-name	wikidata-id	translation	num-authors	author-gender	author-nationality	author-birth-death	book-title	publ-first	publ-edition	publ-ref	publ-decade	publisher	series	collection	subgenre	type	ISBN	translator(s)	title-original	publ-original	references	text-length	language	size	timeSlot	reprintCount
AlexanderD_Tour	AlexanderD	Tour	AlexanderD_Tour	Alexander, David		yes	1.0	M	USA		La tour, prends garde...	1954.0	1992		1950s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2256-X	Catelot, G.-A.		1953		52169.0	fra	short	T0	unspecified
Amos_Casa	Amos	Casa	Amos_Casa	Amos, Alan		yes	1.0	M	USA		La casa paraiso		1953		1950s	Le Masque		Romans d'aventures	policier	populaire						43487.0	fra	short	T0	unspecified
Amos_Sucre	Amos	Sucre	Amos_Sucre	Amos, Alan		yes	1.0	M	USA		Sucre de canne		1958		1950s	Le Masque		Romans d'aventures	policier	populaire						57353.0	fra	medium	T0	unspecified
BoileauNarcejac_Ombre	BoileauNarcejac	Ombre	BoileauNarcejac_Ombre	Boileau, Pierre / Narcejac, Thomas		no	1.0	M	FRA		L'ombre et la proie	1951.0	1984		1950s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1496-6					45146.0	fra	short	T0	unspecified
Hocking_Personne	Hocking	Personne	Hocking_Personne	Hocking, Anne	https://www.wikidata.org/wiki/Q15915316	yes	1.0	F	GBR		Et personne ne pleura		1956		1950s	Le Masque		Romans d'aventures	policier	populaire		Vernay, Perrine				58676.0	fra	medium	T0	unspecified
King_Femme	King	Femme	King_Femme	King, Rufus		yes	1.0	M	USA		La femme qui a tué		1950		1950s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1480-X	Le Houbie, Michel				49451.0	fra	short	T0	unspecified
KnightK_Clan			KnightK_Clan	Knight, Kathleen Moore		yes	1	female	USA		Le clan robineau		1956	1956	1950s	Le Masque		Romans d'aventures	policier	populaire	(unknown)									
Oelrichs_Mort	Oelrichs	Mort	Oelrichs_Mort	Oelrichs, Inès		yes	1.0	F	USA		Mort d'une sorcière blanche		1953		1950s	Le Masque		Romans d'aventures	policier	populaire		Amalric, Isabelle		1986		73194.0	fra	medium	T0	unspecified
Robertson_Drole	Robertson	Drole	Robertson_Drole	Robertson, Colin		yes	1.0	M	GBR		Drôle de cadavre		1958		1950s	Le Masque		Romans d'aventures	policier	populaire						49751.0	fra	short	T0	unspecified
Webb_Merci	Webb	Merci	Webb_Merci	Webb, Anthony		yes	1.0	M	GBR		Merci, Monsieur Pendlebury		1951		1950s	Le Masque		Romans d'aventures	policier	populaire						63543.0	fra	medium	T0	unspecified
Webb_Pendlebury	Webb	Pendlebury	Webb_Pendlebury	Webb, Anthony		yes	1.0	M	GBR		Mr. Pendlebury marque un but		1953		1950s	Le Masque		Romans d'aventures	policier	populaire						53247.0	fra	medium	T0	unspecified
Vindry_Cinquieme	Vindry	Cinquieme	Vindry_Cinquieme	Vindry, Noël 	https://www.wikidata.org/wiki/Q3345897	no	10	M	FRA		La cinquième cartouche 		1955		1950s	Librairie des Champs-Élysées		Le Masque	policier	populaire							fra		T0	unspecified
Vindry_Mort	Vindry	Mort	Vindry_Mort	Vindry, Noël 	https://www.wikidata.org/wiki/Q3345897	no	10	M	FRA		Un mort abusif 		1953		1950s	Librairie des Champs-Élysées		Le Masque	policier	populaire							fra		T0	unspecified
Vindry_Vendredi	Vindry	Vendredi	Vindry_Vendredi	Vindry, Noël 	https://www.wikidata.org/wiki/Q3345897	no	10	M	FRA		Vendredi soir		1954		1950s	Librairie des Champs-Élysées		Le Masque	policier	populaire							fra		T0	unspecified
